"","unix","low","high","open","close","BTC-USD volume"
"1",1616544000,53147.57,57209.97,54333.27,53609.74,17818.60468247
"2",1616457600,53000,55858,54111.49,54345.54,19221.75674
"3",1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647151
"4",1616284800,55543.89,58651.22,58126.34,57363.32,11841.63877891
"5",1616198400,57827.97,59928,58026.91,58116.7,9725.28123717
"6",1616112000,56260,59461.99,57644.95,58039.66,16429.629743
"7",1616025600,56996.15,60100,58925.54,57644.95,21459.4962399
"8",1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433043
"9",1615852800,53221,56970,55629.08,56927.11,24432.37878722
"10",1615766400,54568,60601.07,58972.71,55636.15,31651.39184131
"11",1615680000,58950,61680,61181.38,58972.7,13581.96759058
"12",1615593600,56083.74,61788.45,57220.84,61178.5,22301.28588901
"13",1615507200,55050,58065.92,57820.15,57225.91,21760.53824103
"14",1615420800,54283,58113,55888.7,57815.47,24369.21216789
"15",1615334400,53025,57402.14,54921.61,55890.69,28326.07770941
"16",1615248000,51845.01,54936,52413.17,54916.38,21177.14953983
"17",1615161600,49328.62,52425,50976.22,52415.23,18856.28684439
"18",1615075200,48909.83,51459,48909.84,50978.61,13965.15473114
"19",1614988800,47077,49210,48766.01,48909.84,11877.83755909
"20",1614902400,46219.32,49473.99,48370.97,48769.47,25468.18029576
"21",1614816000,47502,51798.33,50370.33,48368.52,23386.97957577
"22",1614729600,48161.75,52666,48502.18,50360,21301.47723933
"23",1614643200,47075.11,50250,49635.3,48511.6,17063.56302004
"24",1614556800,45042.13,49829,45231.74,49639.4,25068.25043716
"25",1614470400,43016,46656,46169.92,45231.75,22745.60600179
"26",1614384000,45055,48356.86,46319.79,46180.75,16290.28071728
"27",1614297600,44150,48464.64,47063.9,46326.2,36048.6181927
"28",1614211200,46700,52107.83,49737.81,47058.48,28011.20414657
"29",1614124800,47002,51415.41,48899.99,49737.82,30732.14949499
"30",1614038400,44888.08,54206.22,54125.67,48899.99,72300.585728
"31",1613952000,46616,57577.69,57489.16,54142.13,49449.16575779
