Project,Client,Title,Duration
Admin,TD Tran,,01:49:13
Exercice,TD Tran,Biking,00:54:29
Exercice,TD Tran,Jogging,00:53:08
Exercice,TD Tran,Walk,08:51:28
Exercice,TD Tran,Workout,03:23:12
Exercice,TD Tran,,00:11:00
Idle,TD Tran,Break,02:20:51
Idle,TD Tran,id,00:11:33
Idle,TD Tran,,02:25:44
Learning,TD Tran,Coding,05:51:05
Learning,TD Tran,Learn,00:20:49
Learning,TD Tran,Reading,01:29:08
Learning,TD Tran,,16:04:06
Personal,TD Tran,Food,13:03:20
Personal,TD Tran,Groceries,00:56:52
Personal,TD Tran,Julie,04:53:00
Productive Time,TD Tran,Coding,13:11:57
Productive Time,TD Tran,Coding & Call,02:51:04
Productive Time,TD Tran,,09:00:53
Sleep,TD Tran,,57:30:46
Unproductive Time,TD Tran,,22:40:12
