Project,Client,Title,Duration,Date
Exercice,TD Tran,Jogging,6:22:21,09/11/2020
Exercice,TD Tran,Walk,3:14:38,09/11/2020
Exercice,TD Tran,Workout,0:43:28,09/11/2020
Idle,TD Tran,Break,0:10:46,09/11/2020
Idle,TD Tran,Mail,0:17:15,09/11/2020
Idle,TD Tran,,2:20:35,09/11/2020
Learning,TD Tran,Flow,0:08:06,09/11/2020
Learning,TD Tran,Yoga mats,0:16:06,09/11/2020
Learning,TD Tran,,10:20:15,09/11/2020
Personal,TD Tran,Costco,1:57:50,09/11/2020
Personal,TD Tran,Food,7:52:17,09/11/2020
Personal,TD Tran,Julie,2:52:00,09/11/2020
Personal,TD Tran,Shopping,1:02:57,09/11/2020
Productive Time,TD Tran,Call,3:34:31,09/11/2020
Productive Time,TD Tran,Research project,12:58:40,09/11/2020
Productive Time,TD Tran,Set up toggl,0:31:16,09/11/2020
Productive Time,TD Tran,Write about alternatives,19:10:53,09/11/2020
Productive Time,TD Tran,,5:02:16,09/11/2020
Sleep,TD Tran,Nap,0:31:20,09/11/2020
Sleep,TD Tran,,49:00:45,09/11/2020
Unproductive Time,TD Tran,Browsing,5:35:27,09/11/2020
Unproductive Time,TD Tran,Gaming,4:36:49,09/11/2020
Unproductive Time,TD Tran,Youtube,0:31:00,09/11/2020
Unproductive Time,TD Tran,,17:11:18,09/11/2020
Exercice,TD Tran,Jogging,11:20:25,16/11/2020
Exercice,TD Tran,Walk,3:50:53,16/11/2020
Exercice,TD Tran,,0:48:21,16/11/2020
Idle,TD Tran,Break,0:48:00,16/11/2020
Idle,TD Tran,,1:21:38,16/11/2020
Learning,TD Tran,,10:58:03,16/11/2020
Personal,TD Tran,Call,1:01:28,16/11/2020
Personal,TD Tran,Food,8:36:34,16/11/2020
Personal,TD Tran,Julie,3:49:54,16/11/2020
Personal,TD Tran,Social,9:20:36,16/11/2020
Productive Time,TD Tran,Call,6:27:06,16/11/2020
Productive Time,TD Tran,Research project,15:44:49,16/11/2020
Productive Time,TD Tran,Write about alternatives,5:08:49,16/11/2020
Productive Time,TD Tran,,8:08:54,16/11/2020
Sleep,TD Tran,,52:15:50,16/11/2020
Unproductive Time,TD Tran,,27:19:20,16/11/2020
Exercice,TD Tran,Jogging,2:51:23,23/11/2020
Exercice,TD Tran,Walk,5:54:18,23/11/2020
Idle,TD Tran,,1:35:54,23/11/2020
Learning,TD Tran,,13:49:38,23/11/2020
Personal,TD Tran,Food,10:09:54,23/11/2020
Personal,TD Tran,Groceries,1:10:08,23/11/2020
Personal,TD Tran,Julie,8:38:30,23/11/2020
Personal,TD Tran,,3:45:38,23/11/2020
Productive Time,TD Tran,Call,1:09:38,23/11/2020
Productive Time,TD Tran,,39:49:52,23/11/2020
Sleep,TD Tran,,56:08:36,23/11/2020
Unproductive Time,TD Tran,,23:16:54,23/11/2020
Admin,TD Tran,,0:43:26,30/11/2020
Exercice,TD Tran,Jogging,10:34:42,30/11/2020
Exercice,TD Tran,Walk,3:33:27,30/11/2020
Idle,TD Tran,Break,0:30:00,30/11/2020
Idle,TD Tran,,1:37:37,30/11/2020
Learning,TD Tran,,9:00:42,30/11/2020
Personal,TD Tran,Call,1:58:10,30/11/2020
Personal,TD Tran,Food,12:22:54,30/11/2020
Personal,TD Tran,Julie,3:38:18,30/11/2020
Personal,TD Tran,,5:08:15,30/11/2020
Productive Time,TD Tran,Coding,13:32:04,30/11/2020
Productive Time,TD Tran,Coding & Call,2:54:27,30/11/2020
Productive Time,TD Tran,,25:26:24,30/11/2020
Sleep,TD Tran,,53:43:01,30/11/2020
Unproductive Time,TD Tran,,23:03:27,30/11/2020
Unproductive Time,,,1:20:34,30/11/2020
Admin,TD Tran,,1:49:13,07/12/2020
Exercice,TD Tran,Biking,0:54:29,07/12/2020
Exercice,TD Tran,Jogging,0:53:08,07/12/2020
Exercice,TD Tran,Walk,8:51:28,07/12/2020
Exercice,TD Tran,Workout,3:23:12,07/12/2020
Exercice,TD Tran,,0:11:00,07/12/2020
Idle,TD Tran,Break,2:20:51,07/12/2020
Idle,TD Tran,id,0:11:33,07/12/2020
Idle,TD Tran,,2:25:44,07/12/2020
Learning,TD Tran,Coding,5:51:05,07/12/2020
Learning,TD Tran,Learn,0:20:49,07/12/2020
Learning,TD Tran,Reading,1:29:08,07/12/2020
Learning,TD Tran,,16:04:06,07/12/2020
Personal,TD Tran,Food,13:03:20,07/12/2020
Personal,TD Tran,Groceries,0:56:52,07/12/2020
Personal,TD Tran,Julie,4:53:00,07/12/2020
Productive Time,TD Tran,Coding,13:11:57,07/12/2020
Productive Time,TD Tran,Coding & Call,2:51:04,07/12/2020
Productive Time,TD Tran,,9:00:53,07/12/2020
Sleep,TD Tran,,57:30:46,07/12/2020
Unproductive Time,TD Tran,,22:40:12,07/12/2020
Admin,TD Tran,,2:05:46,14/12/2020
Exercice,TD Tran,Biking,3:06:20,14/12/2020
Exercice,TD Tran,Walk,8:29:33,14/12/2020
Exercice,TD Tran,Workout,1:57:05,14/12/2020
Exercice,TD Tran,Workout & Bike,3:12:00,14/12/2020
Idle,TD Tran,Break,2:12:16,14/12/2020
Idle,TD Tran,,1:58:58,14/12/2020
Learning,TD Tran,Coding,2:50:33,14/12/2020
Learning,TD Tran,,16:36:14,14/12/2020
Personal,TD Tran,Food,11:56:10,14/12/2020
Personal,TD Tran,,1:33:47,14/12/2020
Productive Time,TD Tran,Coding,24:44:57,14/12/2020
Productive Time,TD Tran,Coding & Call,3:34:00,14/12/2020
Productive Time,TD Tran,,4:56:59,14/12/2020
Sleep,TD Tran,,54:27:09,14/12/2020
Unproductive Time,TD Tran,,23:51:09,14/12/2020
Admin,TD Tran,,0:30:22,21/12/2020
Exercice,TD Tran,Walk,7:08:14,21/12/2020
Exercice,TD Tran,Workout,0:39:59,21/12/2020
Exercice,TD Tran,Workout & Bike,9:06:11,21/12/2020
Idle,TD Tran,Break,1:13:54,21/12/2020
Idle,TD Tran,,2:51:57,21/12/2020
Learning,TD Tran,Coding,5:15:46,21/12/2020
Learning,TD Tran,,14:35:33,21/12/2020
Personal,TD Tran,Food,13:29:32,21/12/2020
Personal,TD Tran,,3:19:10,21/12/2020
Productive Time,TD Tran,Coding,24:38:22,21/12/2020
Sleep,TD Tran,,58:08:12,21/12/2020
Unproductive Time,TD Tran,,26:09:11,21/12/2020
Exercice,TD Tran,Walk,3:03:14,28/12/2020
Exercice,TD Tran,Workout & Bike,5:19:00,28/12/2020
Idle,TD Tran,Break,1:27:52,28/12/2020
Idle,TD Tran,,0:55:22,28/12/2020
Learning,TD Tran,Coding,11:11:17,28/12/2020
Learning,TD Tran,,14:22:32,28/12/2020
Personal,TD Tran,Food,7:56:43,28/12/2020
Personal,TD Tran,Groceries,1:25:13,28/12/2020
Personal,TD Tran,,0:35:02,28/12/2020
Productive Time,TD Tran,,0:24:10,28/12/2020
Sleep,TD Tran,,32:52:25,28/12/2020
Unproductive Time,TD Tran,,17:37:45,28/12/2020
